asset,announcement_date,ex_date,record_date,pay_date,amount_per_share,amount_per_10,currency,source_url,source_sha256,source_type,pay_date_assumed,adjustment_price_date,adjustment_factor,status,message
dividend_low_vol,,,,,,,,https://www.csindex.com.cn/csindex-home/perf/index-perf?indexCode=H20269&startDate=20050101&endDate=20260819,77e59dcf1132078794cc85cfc2dfe6f4ef7a36b9b2345f05f66f67a070681f71,,,,,verified,H20269 is a total-return index; distributions are embedded in the index level and are not booked as a separate ETF cash dividend.
gold,,,,,,,,https://www.spdrgoldshares.com/media/GLD/file/singapore/GLD-Sing-Product-Highlights-Sheet-Sept-2025.pdf,5a40c30206ea04f3baefa8ae91605e0443e3ba7f46e789e4f828f0abd9ed6c57,,,,,verified_no_distribution,The issuer's official product statement says no distributions have been made since inception.
long_bond,2025-09-18,2025-09-23,2025-09-22,2025-09-26,1.3599999999999999,13.6,CNY,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-18/511260_20250918_HDYX.pdf,196b4161ac1f27f88b5a7281527715c01894e0e379110677bf346a3842c08956,,,2025-09-23,0.9899619884120012,applied,
long_bond,2025-12-23,2025-12-26,2025-12-25,2025-12-31,0.833,8.33,CNY,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-12-23/511260_20251223_ZED8.pdf,f4133587e9a40c2b5d9321837ba02eccce02b2c7e9505a0f0b5ae6430d22593e,,,2025-12-26,0.9938345619800456,applied,
long_bond,2026-03-20,2026-03-25,2026-03-24,2026-03-30,0.6711,6.711,CNY,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-20/511260_20260320_QYES.pdf,7790158723692d951aee24bfae92c969cd8258bbcbb997ff71885cff93f07529,,,2026-03-25,0.9950285611421791,applied,
long_bond,2026-06-22,2026-06-25,2026-06-24,2026-06-30,1.2686,12.686,CNY,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-22/511260_20260622_BWI3.pdf,989e2e77f4cddc8e839d80a72f6569fa575b993ed879a2db2bd5dba0b1b98d20,,,2026-06-25,0.9906728543741858,applied,
nasdaq100,,2005-06-17,,2005-06-17,0.035,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2005-06-17,0.9990766389398166,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2005-12-16,,2005-12-16,0.101,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2005-12-16,0.9975768336757024,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2006-03-17,,2006-03-17,0.029,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2006-03-17,0.9993008510459125,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2006-06-16,,2006-06-16,0.026,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2006-06-16,0.9993223166372153,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2006-09-15,,2006-09-15,0.023,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2006-09-15,0.9994269055477982,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2006-12-15,,2006-12-15,0.054,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2006-12-15,0.9987860803967822,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2007-03-16,,2007-03-16,0.027,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2007-03-16,0.9993699979269096,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2007-06-15,,2007-06-15,0.037,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2007-06-15,0.9992258928112787,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
